Order ID,Order Date,Month,City,Region,Category,Product,Quantity,Unit Price,Discount %,Sales,Profit,Payment Mode,Customer Segment
ORD-0036,2025-06-10,Jun-2025,Nagpur,West,Electronics,Laptop Stand,3,1300.0,0.15,3315.0,596.7,Credit Card,Consumer
ORD-0037,2025-09-18,Sep-2025,Pune,West,Accessories,Laptop Sleeve,1,710.0,0.1,639.0,159.75,Credit Card,Corporate
ORD-0038,2025-03-03,Mar-2025,Bhopal,Central,Electronics,USB-C Cable,3,277.0,0,831.0,149.58,Net Banking,Home Office
ORD-0039,2025-09-25,Sep-2025,Chennai,South,Accessories,Desk Lamp,2,923.0,0,1846.0,461.5,Debit Card,Corporate
ORD-0040,2025-03-09,Mar-2025,Bengaluru,South,Office Supplies,Printer Paper,2,415.0,0,830.0,182.6,Cash,Home Office
ORD-0041,2025-10-16,Oct-2025,Pune,West,Electronics,Wireless Mouse,3,800.0,0,2400.0,432.0,Debit Card,Consumer
ORD-0042,2025-05-06,May-2025,Chennai,South,Office Supplies,Notebook Pack,1,262.0,0.1,235.8,51.88,Net Banking,Home Office
ORD-0043,2025-09-28,Sep-2025,Nagpur,West,Furniture,Bookshelf,5,3387.0,0.1,15241.5,2286.22,Credit Card,Corporate
ORD-0044,2025-03-01,Mar-2025,Pune,West,Accessories,Backpack,3,1155.0,0.05,3291.75,822.94,Debit Card,Consumer
ORD-0045,2025-12-18,Dec-2025,Bengaluru,South,Furniture,Office Chair,3,5323.0,0.15,13573.65,2036.05,UPI,Home Office
ORD-0046,2025-08-05,Aug-2025,Bengaluru,South,Electronics,Laptop Stand,1,1355.0,0.05,1287.25,231.7,Debit Card,Consumer
ORD-0047,2025-08-15,Aug-2025,Kolkata,East,Accessories,Backpack,2,1105.0,0,2210.0,552.5,Credit Card,Home Office
ORD-0048,2025-01-19,Jan-2025,Chennai,South,Furniture,Study Table,3,6920.0,0,20760.0,3114.0,Debit Card,Consumer
ORD-0049,2025-07-03,Jul-2025,Hyderabad,South,Furniture,Bookshelf,2,3277.0,0.1,5898.6,884.79,Cash,Home Office
ORD-0050,2025-03-21,Mar-2025,Hyderabad,South,Accessories,Laptop Sleeve,1,733.0,0,733.0,183.25,Cash,Consumer
ORD-0051,2025-04-02,Apr-2025,Chennai,South,Accessories,Water Bottle,7,366.0,0.15,2177.7,544.42,Credit Card,Corporate
ORD-0052,2025-03-23,Mar-2025,Pune,West,Office Supplies,Ball Pen Set,6,210.0,0,1260.0,277.2,Cash,Corporate
ORD-0053,2025-06-06,Jun-2025,Hyderabad,South,Electronics,USB-C Cable,1,284.0,0,284.0,51.12,UPI,Corporate
ORD-0054,2025-06-29,Jun-2025,Kolkata,East,Office Supplies,Ball Pen Set,4,210.0,0,840.0,184.8,UPI,Consumer
ORD-0055,2025-05-14,May-2025,Mumbai,West,Furniture,Study Table,7,6736.0,0,47152.0,7072.8,Cash,Corporate
ORD-0056,2025-06-10,Jun-2025,Delhi,North,Furniture,Study Table,8,6569.0,0.15,44669.2,6700.38,Credit Card,Corporate
ORD-0057,2025-01-23,Jan-2025,Delhi,North,Electronics,Laptop Stand,3,1363.0,0.1,3680.1,662.42,Credit Card,Corporate
ORD-0058,2025-08-09,Aug-2025,Pune,West,Furniture,Bookshelf,6,3568.0,0.1,19267.2,2890.08,UPI,Home Office
ORD-0059,2025-06-03,Jun-2025,Kolkata,East,Office Supplies,Notebook Pack,4,242.0,0.1,871.2,191.66,Net Banking,Consumer
ORD-0060,2025-04-09,Apr-2025,Delhi,North,Furniture,Bookshelf,7,3598.0,0.15,21408.1,3211.21,Net Banking,Home Office
ORD-0061,2025-06-04,Jun-2025,Delhi,North,Furniture,Office Chair,5,4842.0,0,24210.0,3631.5,Net Banking,Home Office
ORD-0062,2025-12-02,Dec-2025,Chennai,South,Office Supplies,Printer Paper,2,410.0,0.05,779.0,171.38,Credit Card,Home Office
ORD-0063,2025-02-13,Feb-2025,Bengaluru,South,Furniture,Office Chair,4,5094.0,0,20376.0,3056.4,Credit Card,Home Office
ORD-0064,2025-06-08,Jun-2025,Hyderabad,South,Accessories,Water Bottle,1,322.0,0,322.0,80.5,Cash,Home Office
ORD-0065,2025-02-07,Feb-2025,Jaipur,North,Office Supplies,Ball Pen Set,6,201.0,0.1,1085.4,238.79,Cash,Corporate
ORD-0066,2025-07-24,Jul-2025,Hyderabad,South,Electronics,Bluetooth Speaker,4,1380.0,0.1,4968.0,894.24,UPI,Corporate
ORD-0067,2025-04-23,Apr-2025,Mumbai,West,Accessories,Water Bottle,7,350.0,0,2450.0,612.5,Credit Card,Consumer
ORD-0068,2025-08-22,Aug-2025,Mumbai,West,Accessories,Water Bottle,3,351.0,0.05,1000.35,250.09,Debit Card,Corporate
ORD-0069,2025-11-10,Nov-2025,Kolkata,East,Office Supplies,Ball Pen Set,5,201.0,0.15,854.25,187.94,Cash,Corporate
ORD-0070,2025-05-13,May-2025,Hyderabad,South,Accessories,Laptop Sleeve,3,729.0,0.05,2077.65,519.41,Credit Card,Corporate
ORD-0071,2025-08-14,Aug-2025,Pune,West,Accessories,Backpack,2,1155.0,0,2310.0,577.5,Net Banking,Consumer
ORD-0072,2025-03-12,Mar-2025,Mumbai,West,Electronics,USB-C Cable,2,282.0,0,564.0,101.52,Cash,Corporate
ORD-0073,2025-06-19,Jun-2025,Kolkata,East,Office Supplies,Printer Paper,2,380.0,0.05,722.0,158.84,Net Banking,Home Office
ORD-0074,2025-01-11,Jan-2025,Bhopal,Central,Office Supplies,Ball Pen Set,3,213.0,0,639.0,140.58,Cash,Corporate
ORD-0075,2025-10-03,Oct-2025,Kolkata,East,Accessories,Water Bottle,3,333.0,0,999.0,249.75,Cash,Corporate
ORD-0076,2025-01-15,Jan-2025,Delhi,North,Office Supplies,Desk Organizer,4,732.0,0.1,2635.2,579.74,Cash,Consumer
ORD-0077,2025-11-15,Nov-2025,Kolkata,East,Electronics,Laptop Stand,6,1318.0,0.1,7117.2,1281.1,UPI,Home Office
ORD-0078,2025-08-08,Aug-2025,Mumbai,West,Accessories,Laptop Sleeve,3,649.0,0,1947.0,486.75,Credit Card,Corporate
ORD-0079,2025-06-17,Jun-2025,Chennai,South,Accessories,Water Bottle,6,337.0,0.15,1718.7,429.68,Cash,Corporate
ORD-0080,2025-02-11,Feb-2025,Jaipur,North,Electronics,Laptop Stand,4,1206.0,0.15,4100.4,738.07,Credit Card,Home Office
ORD-0081,2025-02-05,Feb-2025,Nagpur,West,Accessories,Water Bottle,1,335.0,0.1,301.5,75.38,Net Banking,Consumer
ORD-0082,2025-05-03,May-2025,Mumbai,West,Office Supplies,Printer Paper,4,403.0,0,1612.0,354.64,Debit Card,Corporate
ORD-0083,2025-03-27,Mar-2025,Bhopal,Central,Furniture,Study Table,7,7244.0,0.1,45637.2,6845.58,Credit Card,Corporate
ORD-0084,2025-02-25,Feb-2025,Bhopal,Central,Electronics,Laptop Stand,6,1315.0,0.15,6706.5,1207.17,Cash,Corporate
ORD-0085,2025-04-12,Apr-2025,Pune,West,Furniture,Study Table,4,7141.0,0,28564.0,4284.6,Debit Card,Home Office
ORD-0086,2025-11-04,Nov-2025,Pune,West,Accessories,Water Bottle,8,365.0,0,2920.0,730.0,Cash,Home Office
ORD-0087,2025-07-09,Jul-2025,Pune,West,Furniture,Office Chair,3,4609.0,0.05,13135.65,1970.35,Cash,Consumer
ORD-0088,2025-08-10,Aug-2025,Chennai,South,Furniture,Bookshelf,6,3476.0,0,20856.0,3128.4,Credit Card,Home Office
ORD-0089,2025-09-25,Sep-2025,Bengaluru,South,Furniture,Study Table,5,7042.0,0.05,33449.5,5017.43,Cash,Home Office
ORD-0090,2025-10-31,Oct-2025,Bengaluru,South,Office Supplies,Desk Organizer,5,736.0,0,3680.0,809.6,Cash,Consumer
ORD-0091,2025-08-26,Aug-2025,Bhopal,Central,Furniture,Study Table,4,6816.0,0.05,25900.8,3885.12,Debit Card,Consumer
ORD-0092,2025-09-07,Sep-2025,Hyderabad,South,Office Supplies,Desk Organizer,5,681.0,0.15,2894.25,636.74,Debit Card,Home Office
ORD-0093,2025-01-06,Jan-2025,Kolkata,East,Electronics,USB-C Cable,1,310.0,0.05,294.5,53.01,Credit Card,Home Office
ORD-0094,2025-09-01,Sep-2025,Jaipur,North,Office Supplies,Printer Paper,5,373.0,0,1865.0,410.3,Credit Card,Corporate
ORD-0095,2025-12-06,Dec-2025,Bhopal,Central,Office Supplies,Desk Organizer,3,702.0,0.05,2000.7,440.15,Net Banking,Corporate
ORD-0096,2025-06-30,Jun-2025,Jaipur,North,Office Supplies,Notebook Pack,2,238.0,0.1,428.4,94.25,Debit Card,Consumer
ORD-0097,2025-10-02,Oct-2025,Mumbai,West,Electronics,USB-C Cable,1,298.0,0.1,268.2,48.28,Net Banking,Home Office
ORD-0098,2025-05-25,May-2025,Pune,West,Accessories,Laptop Sleeve,1,669.0,0,669.0,167.25,UPI,Home Office
ORD-0099,2025-10-01,Oct-2025,Mumbai,West,Office Supplies,Notebook Pack,1,231.0,0,231.0,50.82,Credit Card,Home Office
ORD-0100,2025-09-09,Sep-2025,Pune,West,Accessories,Laptop Sleeve,1,675.0,0.05,641.25,160.31,Debit Card,Consumer
ORD-0101,2025-01-27,Jan-2025,Bengaluru,South,Accessories,Laptop Sleeve,3,735.0,0.05,2094.75,523.69,UPI,Home Office
ORD-0102,2025-11-19,Nov-2025,Nagpur,West,Electronics,Bluetooth Speaker,1,1514.0,0,1514.0,272.52,Credit Card,Consumer
ORD-0103,2025-10-13,Oct-2025,Delhi,North,Furniture,Study Table,3,7132.0,0.1,19256.4,2888.46,Cash,Corporate
ORD-0104,2025-08-15,Aug-2025,Bengaluru,South,Accessories,Laptop Sleeve,3,691.0,0.05,1969.35,492.34,UPI,Home Office
ORD-0105,2025-02-20,Feb-2025,Hyderabad,South,Furniture,Bookshelf,1,3589.0,0,3589.0,538.35,Credit Card,Home Office
ORD-0106,2025-02-08,Feb-2025,Mumbai,West,Electronics,Laptop Stand,2,1338.0,0.05,2542.2,457.6,UPI,Consumer
ORD-0107,2025-05-28,May-2025,Bengaluru,South,Accessories,Backpack,5,1117.0,0,5585.0,1396.25,Debit Card,Home Office
ORD-0108,2025-10-29,Oct-2025,Hyderabad,South,Office Supplies,Ball Pen Set,1,190.0,0,190.0,41.8,Debit Card,Consumer
ORD-0109,2025-02-06,Feb-2025,Nagpur,West,Electronics,Bluetooth Speaker,5,1522.0,0.1,6849.0,1232.82,Debit Card,Corporate
ORD-0110,2025-03-05,Mar-2025,Jaipur,North,Accessories,Backpack,2,1180.0,0,2360.0,590.0,Net Banking,Corporate
ORD-0111,2025-08-13,Aug-2025,Pune,West,Furniture,Study Table,1,6923.0,0,6923.0,1038.45,Debit Card,Consumer
ORD-0112,2025-02-16,Feb-2025,Hyderabad,South,Furniture,Bookshelf,5,3541.0,0.15,15049.25,2257.39,Debit Card,Home Office
ORD-0113,2025-01-21,Jan-2025,Mumbai,West,Office Supplies,Printer Paper,3,395.0,0,1185.0,260.7,Net Banking,Corporate
ORD-0114,2025-11-22,Nov-2025,Jaipur,North,Electronics,Wireless Mouse,3,787.0,0,2361.0,424.98,UPI,Consumer
ORD-0115,2025-06-18,Jun-2025,Delhi,North,Accessories,Backpack,3,1230.0,0.05,3505.5,876.38,Net Banking,Consumer
ORD-0116,2025-08-21,Aug-2025,Pune,West,Office Supplies,Desk Organizer,2,656.0,0.1,1180.8,259.78,Net Banking,Consumer
ORD-0117,2025-12-03,Dec-2025,Kolkata,East,Office Supplies,Printer Paper,2,379.0,0,758.0,166.76,Cash,Home Office
ORD-0118,2025-08-15,Aug-2025,Nagpur,West,Electronics,USB-C Cable,2,281.0,0,562.0,101.16,Cash,Consumer
ORD-0119,2025-01-15,Jan-2025,Bhopal,Central,Accessories,Water Bottle,2,330.0,0.05,627.0,156.75,Net Banking,Corporate
ORD-0120,2025-02-17,Feb-2025,Hyderabad,South,Accessories,Laptop Sleeve,6,695.0,0,4170.0,1042.5,Credit Card,Corporate
ORD-0121,2025-05-30,May-2025,Kolkata,East,Accessories,Backpack,2,1263.0,0.2,2020.8,505.2,Credit Card,Corporate
ORD-0122,2025-10-10,Oct-2025,Mumbai,West,Office Supplies,Ball Pen Set,1,202.0,0.1,181.8,40.0,Credit Card,Consumer
ORD-0123,2025-05-22,May-2025,Delhi,North,Office Supplies,Desk Organizer,7,700.0,0.1,4410.0,970.2,Debit Card,Home Office
ORD-0124,2025-06-02,Jun-2025,Bhopal,Central,Furniture,Study Table,8,6987.0,0,55896.0,8384.4,Net Banking,Corporate
ORD-0125,2025-06-26,Jun-2025,Chennai,South,Furniture,Office Chair,4,4901.0,0.15,16663.4,2499.51,Credit Card,Home Office
ORD-0126,2025-05-03,May-2025,Bhopal,Central,Office Supplies,Ball Pen Set,2,208.0,0,416.0,91.52,Cash,Home Office
ORD-0127,2025-07-15,Jul-2025,Delhi,North,Furniture,Bookshelf,5,3584.0,0,17920.0,2688.0,UPI,Consumer
ORD-0128,2025-09-15,Sep-2025,Bhopal,Central,Office Supplies,Desk Organizer,5,741.0,0.05,3519.75,774.35,Net Banking,Corporate
ORD-0129,2025-01-08,Jan-2025,Mumbai,West,Office Supplies,Ball Pen Set,6,214.0,0,1284.0,282.48,Debit Card,Corporate
ORD-0130,2025-11-16,Nov-2025,Delhi,North,Furniture,Bookshelf,1,3403.0,0.1,3062.7,459.41,Net Banking,Corporate
ORD-0131,2025-06-12,Jun-2025,Jaipur,North,Accessories,Laptop Sleeve,3,712.0,0,2136.0,534.0,Debit Card,Consumer
ORD-0132,2025-02-16,Feb-2025,Delhi,North,Electronics,Wireless Mouse,4,825.0,0,3300.0,594.0,Credit Card,Home Office
ORD-0133,2025-06-03,Jun-2025,Nagpur,West,Electronics,Laptop Stand,2,1207.0,0,2414.0,434.52,Cash,Consumer
ORD-0134,2025-05-06,May-2025,Kolkata,East,Office Supplies,Ball Pen Set,3,208.0,0,624.0,137.28,UPI,Home Office
ORD-0135,2025-07-15,Jul-2025,Bhopal,Central,Furniture,Bookshelf,2,3730.0,0,7460.0,1119.0,Cash,Home Office
ORD-0136,2025-05-11,May-2025,Jaipur,North,Office Supplies,Notebook Pack,4,265.0,0.05,1007.0,221.54,Debit Card,Home Office
ORD-0137,2025-10-07,Oct-2025,Mumbai,West,Electronics,Wireless Mouse,2,779.0,0.05,1480.1,266.42,Cash,Home Office
ORD-0138,2025-05-09,May-2025,Jaipur,North,Accessories,Laptop Sleeve,2,755.0,0.15,1283.5,320.88,UPI,Consumer
ORD-0139,2025-07-15,Jul-2025,Bhopal,Central,Office Supplies,Desk Organizer,3,754.0,0,2262.0,497.64,Cash,Corporate
ORD-0140,2025-01-05,Jan-2025,Bhopal,Central,Accessories,Laptop Sleeve,4,726.0,0,2904.0,726.0,Net Banking,Home Office
ORD-0141,2025-09-12,Sep-2025,Bengaluru,South,Accessories,Water Bottle,5,355.0,0,1775.0,443.75,Credit Card,Home Office
ORD-0142,2025-05-09,May-2025,Mumbai,West,Furniture,Bookshelf,1,3570.0,0,3570.0,535.5,Cash,Consumer
ORD-0143,2025-10-24,Oct-2025,Chennai,South,Accessories,Backpack,1,1278.0,0,1278.0,319.5,Cash,Consumer
ORD-0144,2025-04-13,Apr-2025,Mumbai,West,Accessories,Water Bottle,3,375.0,0.05,1068.75,267.19,Debit Card,Consumer
ORD-0145,2025-05-12,May-2025,Jaipur,North,Accessories,Water Bottle,2,370.0,0.1,666.0,166.5,Cash,Consumer
ORD-0146,2025-03-14,Mar-2025,Hyderabad,South,Accessories,Laptop Sleeve,4,719.0,0.05,2732.2,683.05,Net Banking,Corporate
ORD-0147,2025-02-16,Feb-2025,Delhi,North,Electronics,Laptop Stand,2,1221.0,0,2442.0,439.56,Debit Card,Home Office
ORD-0148,2025-07-15,Jul-2025,Chennai,South,Electronics,Wireless Mouse,4,795.0,0.05,3021.0,543.78,Net Banking,Corporate
ORD-0149,2025-11-09,Nov-2025,Hyderabad,South,Furniture,Bookshelf,1,3680.0,0.15,3128.0,469.2,Debit Card,Home Office
ORD-0150,2025-07-29,Jul-2025,Pune,West,Electronics,Bluetooth Speaker,1,1388.0,0.2,1110.4,199.87,UPI,Consumer
ORD-0151,2025-05-01,May-2025,Kolkata,East,Electronics,Bluetooth Speaker,2,1468.0,0.15,2495.6,449.21,Net Banking,Corporate
ORD-0152,2025-10-28,Oct-2025,Mumbai,West,Accessories,Desk Lamp,2,841.0,0.05,1597.9,399.47,Cash,Corporate
ORD-0153,2025-01-17,Jan-2025,Chennai,South,Electronics,USB-C Cable,2,321.0,0.15,545.7,98.23,UPI,Home Office
ORD-0154,2025-07-08,Jul-2025,Kolkata,East,Accessories,Desk Lamp,8,879.0,0.05,6680.4,1670.1,Credit Card,Consumer
ORD-0155,2025-08-21,Aug-2025,Pune,West,Furniture,Bookshelf,1,3577.0,0.2,2861.6,429.24,UPI,Corporate
ORD-0156,2025-05-05,May-2025,Mumbai,West,Accessories,Water Bottle,3,325.0,0.1,877.5,219.38,Credit Card,Home Office
ORD-0157,2025-04-21,Apr-2025,Hyderabad,South,Office Supplies,Desk Organizer,4,731.0,0.05,2777.8,611.12,Debit Card,Consumer
ORD-0158,2025-03-08,Mar-2025,Kolkata,East,Office Supplies,Notebook Pack,5,233.0,0.15,990.25,217.85,Credit Card,Consumer
ORD-0159,2025-07-03,Jul-2025,Hyderabad,South,Furniture,Study Table,2,6634.0,0,13268.0,1990.2,Cash,Home Office
ORD-0160,2025-02-28,Feb-2025,Pune,West,Office Supplies,Printer Paper,2,390.0,0.05,741.0,163.02,Cash,Home Office
ORD-0161,2025-04-24,Apr-2025,Bhopal,Central,Electronics,Laptop Stand,4,1384.0,0.1,4982.4,896.83,Debit Card,Corporate
ORD-0162,2025-11-26,Nov-2025,Nagpur,West,Electronics,Laptop Stand,8,1371.0,0.05,10419.6,1875.53,UPI,Corporate
ORD-0163,2025-12-31,Dec-2025,Jaipur,North,Electronics,Wireless Mouse,6,776.0,0,4656.0,838.08,Credit Card,Corporate
ORD-0164,2025-11-16,Nov-2025,Bhopal,Central,Furniture,Office Chair,4,4904.0,0.05,18635.2,2795.28,Debit Card,Corporate
ORD-0165,2025-09-16,Sep-2025,Bhopal,Central,Office Supplies,Ball Pen Set,1,205.0,0.15,174.25,38.34,Net Banking,Home Office
ORD-0166,2025-04-21,Apr-2025,Delhi,North,Office Supplies,Printer Paper,6,393.0,0.1,2122.2,466.88,Cash,Corporate
ORD-0167,2025-02-18,Feb-2025,Chennai,South,Office Supplies,Ball Pen Set,2,191.0,0.15,324.7,71.43,Cash,Consumer
ORD-0168,2025-02-16,Feb-2025,Pune,West,Electronics,Wireless Mouse,2,830.0,0,1660.0,298.8,Credit Card,Home Office
ORD-0169,2025-01-31,Jan-2025,Bhopal,Central,Furniture,Office Chair,3,5135.0,0.05,14634.75,2195.21,Cash,Home Office
ORD-0170,2025-01-27,Jan-2025,Bengaluru,South,Furniture,Study Table,2,6555.0,0.05,12454.5,1868.17,Credit Card,Home Office
ORD-0171,2025-09-04,Sep-2025,Hyderabad,South,Accessories,Laptop Sleeve,1,738.0,0,738.0,184.5,Debit Card,Home Office
ORD-0172,2025-04-26,Apr-2025,Delhi,North,Accessories,Laptop Sleeve,3,729.0,0.05,2077.65,519.41,Net Banking,Consumer
ORD-0173,2025-11-08,Nov-2025,Bengaluru,South,Electronics,Laptop Stand,1,1341.0,0,1341.0,241.38,Debit Card,Corporate
ORD-0174,2025-01-04,Jan-2025,Mumbai,West,Accessories,Laptop Sleeve,1,717.0,0,717.0,179.25,UPI,Consumer
ORD-0175,2025-09-29,Sep-2025,Hyderabad,South,Office Supplies,Ball Pen Set,2,194.0,0,388.0,85.36,Debit Card,Home Office
ORD-0176,2025-11-02,Nov-2025,Pune,West,Accessories,Desk Lamp,1,850.0,0.05,807.5,201.88,UPI,Corporate
ORD-0177,2025-08-15,Aug-2025,Delhi,North,Office Supplies,Printer Paper,3,394.0,0,1182.0,260.04,Net Banking,Consumer
ORD-0178,2025-06-26,Jun-2025,Delhi,North,Electronics,Wireless Mouse,2,822.0,0.05,1561.8,281.12,Debit Card,Consumer
ORD-0179,2025-04-23,Apr-2025,Delhi,North,Furniture,Study Table,1,6668.0,0.15,5667.8,850.17,Credit Card,Corporate
ORD-0180,2025-05-29,May-2025,Chennai,South,Electronics,Wireless Mouse,1,831.0,0,831.0,149.58,Cash,Home Office
ORD-0181,2025-12-27,Dec-2025,Hyderabad,South,Furniture,Office Chair,3,5133.0,0,15399.0,2309.85,Cash,Home Office
ORD-0182,2025-01-22,Jan-2025,Delhi,North,Electronics,Laptop Stand,2,1211.0,0,2422.0,435.96,Cash,Home Office
ORD-0183,2025-07-27,Jul-2025,Delhi,North,Office Supplies,Notebook Pack,1,230.0,0,230.0,50.6,Net Banking,Corporate
ORD-0184,2025-12-20,Dec-2025,Chennai,South,Electronics,Wireless Mouse,2,749.0,0.05,1423.1,256.16,Cash,Home Office
ORD-0185,2025-02-10,Feb-2025,Delhi,North,Accessories,Laptop Sleeve,2,681.0,0,1362.0,340.5,Credit Card,Consumer
ORD-0186,2025-09-19,Sep-2025,Pune,West,Furniture,Office Chair,3,5324.0,0,15972.0,2395.8,Credit Card,Consumer
ORD-0187,2025-02-22,Feb-2025,Mumbai,West,Office Supplies,Notebook Pack,1,253.0,0.1,227.7,50.09,UPI,Consumer
ORD-0188,2025-11-18,Nov-2025,Jaipur,North,Office Supplies,Printer Paper,4,416.0,0.05,1580.8,347.78,Net Banking,Home Office
ORD-0189,2025-11-22,Nov-2025,Bhopal,Central,Office Supplies,Desk Organizer,5,713.0,0,3565.0,784.3,UPI,Corporate
ORD-0190,2025-08-15,Aug-2025,Bengaluru,South,Accessories,Water Bottle,2,324.0,0.05,615.6,153.9,Debit Card,Corporate
ORD-0191,2025-08-20,Aug-2025,Nagpur,West,Electronics,Laptop Stand,2,1255.0,0.1,2259.0,406.62,UPI,Home Office
ORD-0192,2025-11-01,Nov-2025,Kolkata,East,Office Supplies,Ball Pen Set,3,201.0,0.1,542.7,119.39,UPI,Corporate
ORD-0193,2025-10-20,Oct-2025,Hyderabad,South,Office Supplies,Desk Organizer,3,699.0,0.15,1782.45,392.14,Cash,Consumer
ORD-0194,2025-06-25,Jun-2025,Pune,West,Furniture,Office Chair,3,4630.0,0.1,12501.0,1875.15,Cash,Home Office
ORD-0195,2025-09-25,Sep-2025,Bhopal,Central,Electronics,Bluetooth Speaker,2,1599.0,0.05,3038.1,546.86,Debit Card,Home Office
ORD-0196,2025-11-03,Nov-2025,Nagpur,West,Accessories,Water Bottle,3,340.0,0,1020.0,255.0,Net Banking,Home Office
